,Teams,1x2
0,"Bosnia & Herzegovina
Italy","9.50
5.30
1.30"
1,"Poland
Netherlands","4.00
3.70
1.85"
2,"Belgium
Denmark","1.65
3.80
5.30"
3,"England
Iceland","1.17
7.00
15.00"
4,"Austria
Norway","1.22
6.30
12.00"
5,"Northern Ireland
Romania","3.00
3.20
2.40"
6,"Czech Republic
Slovakia","1.47
4.20
7.00"
7,"Israel
Scotland","2.55
3.40
2.65"
8,"Hungary
Turkey","3.10
3.30
2.30"
9,"Serbia
Russia","2.75
3.20
2.60"
10,"Wales
Finland","1.95
3.30
4.10"
11,"Ireland
Bulgaria","1.65
3.60
5.70"
12,"Georgia
Estonia","1.52
3.80
6.20"
13,"Armenia
North Macedonia","2.45
3.10
2.80"
14,"Greece
Slovenia","1.90
3.10
4.30"
15,"Kosovo
Moldova","1.40
4.20
7.50"
16,"Albania
Belarus","1.75
3.30
4.70"
17,"Kazakhstan
Lithuania","1.90
3.20
4.20"
18,"Luxembourg U21
Ireland U21","18.00
7.00
1.13"
19,"Italy U21
Sweden U21","2.70
3.50
2.35"
20,"Portugal U21
Netherlands U21","2.75
3.70
2.25"
21,"Alemannia Aachen
Fortuna Cologne","2.55
3.20
2.55"
22,"Borussia M'gladbach II
Rot-weiss Essen","7.50
4.00
1.40"
23,"Rodinghausen
SC Wiedenbruck","1.65
3.90
4.20"
24,"Morecambe FC
Manchester Utd U21","2.60
3.90
2.20"
25,"Bristol Rovers
Chelsea FC U21","1.80
3.80
3.50"
26,"Real Union Irun
Deportivo Alaves II","2.00
3.30
3.20"
27,"CD Tudelano
Club Haro Deportivo","2.40
2.90
2.90"
28,"CD Alcoyano
UD Ibiza","3.50
2.55
2.30"
29,"Club Rec. Granada
Sevilla FC Atletico","2.15
2.75
3.50"
30,"Pro Vercelli
AS Giana Erminio","1.65
3.10
5.70"
31,"Como Calcio
Aurora Pro Patria","1.95
2.90
4.10"
32,"Olbia Calcio 1905
Lucchese Libertas","2.10
2.75
3.80"
33,"US Palermo
Potenza Calcio","2.00
3.20
3.50"
34,"AS Avellino 1912
AS Bisceglie","1.35
4.30
7.50"
35,"Teramo Calcio
Foggia Calcio","1.85
3.20
3.90"
36,"Catania Calcio
Vibonese Calcio","1.95
3.20
3.60"
37,"Hekimoglu Trabzon
AS Sariyer","1.70
3.20
4.70"
38,"Usakspor
Zonguldakspor","1.40
4.10
6.50"
39,"Amedspor
Kocaelispor","2.90
3.10
2.25"
40,"A. 24erzincanspor
Manisa FK","5.20
2.90
1.75"
41,"Ergene Velimese Spor
Nigde Anadolu FK","1.65
4.10
3.80"
42,"Sancaktepe Belediye
Afjet Afyonspor","1.52
3.80
5.20"
43,"Konyaspor
Turgutluspor","2.55
3.10
2.50"
44,"Tarsus Idman Yurdu
Serik Belediyespor","2.00
3.20
3.30"
45,"Bodrum Belediyesi Bodrumspor
Sivas Belediye Spor","2.10
2.90
3.40"
46,"Eyupspor
Karabukspor","1.05
9.00
20.00"
47,"Karacabey Birlikspor
Kirsehir Belediye S.","1.80
3.50
3.80"
48,"Vanspor FK
S. B. Elazigspor","1.45
3.60
7.00"
49,"Kastamonuspor
Etimesgut Belediyespor","2.60
3.40
2.30"
50,"Sakaryaspor
Bak Spor Kulubu","1.42
4.00
6.50"
51,"KVC Westerlo
MSK Deinze","2.10
3.20
3.40"
52,"CF Belenenses U23
Estoril Praia U23","2.75
3.30
2.25"
53,"Mondinense FC
FC Tirsense","3.20
2.90
2.20"
54,"Leca FC
Gondomar SC","2.60
2.80
2.70"
55,"CF Canelas 2010
Anadia FC","1.70
3.30
4.70"
56,"GD Fontinhas
Real Sporte","2.65
3.30
2.30"
57,"Valur Reykjavik (W)
Glasgow City LFC (W)","2.30
4.00
2.40"
58,"Gornik Leczna (W)
Apoll. Limassol (W)","4.40
4.00
1.60"
59,"Perth Glory FC
FC Shanghai Shenhua","4.30
3.50
1.70"
60,"Resovia Rzeszow
MKS Sandecja","2.00
3.30
3.30"
61,"MKS Puszcza Niepol.
Gornik Leczna","2.50
3.00
2.70"
62,"Chrobry Glogow
Odra Opole","2.30
3.20
2.80"
63,"Arka Gdynia 1929
Zaglebie Sosnowiec","1.70
3.20
5.00"
64,"Korona Kielce SA
Stomil Olsztyn","1.80
3.30
4.00"
65,"Radomiak Radom
LKS Lodz","3.50
3.60
1.85"
66,"Slask Wroclaw II
GKS Katowice","3.80
3.40
1.80"
67,"Blekitni Stargard S.
Lech II Pozna","2.15
3.50
2.80"
68,"Sokol Ostroda
Garbarnia Krakow","2.25
3.30
2.75"
