Teams,1x2
"SC Freiburg
1 FSV Mainz 05","2.00
3.60
3.50"
"1 FC Cologne
FC Union Berlin","2.70
3.40
2.55"
"Erzgebirge Aue
SV Darmstadt 98","2.90
3.40
2.40"
"Hamburger SV
VfL Bochum","1.60
4.20
5.30"
"Würzburger Kickers
Hannover 96","4.30
3.90
1.75"
"Greuther Fürth
Jahn Regensburg","1.80
3.90
4.00"
"VfB Lubeck
Bayern M. II","3.40
3.70
2.00"
"SpVgg Unterhaching
FC Viktoria Cologne","2.35
3.40
2.90"
"FC Ingolstadt
1. FC Magdeburg","1.70
3.80
5.00"
"Home Teams Goals
Away Teams Goals","2.10
5.00
2.35"
"Home Teams Goals
Away Teams Goals","1.70
7.50
2.65"
"Home Teams Goals
Away Teams Goals","1.85
6.50
2.40"
"Fulham FC
Everton FC","3.70
3.80
1.90"
"Sheffield United
West Ham United","3.10
3.20
2.35"
"Leeds United
Arsenal FC","3.00
3.70
2.20"
"Liverpool FC
Leicester City","1.85
4.00
3.70"
"Manchester City U23
Chelsea FC U23","1.90
3.90
3.00"
"Manchester United U23
Tottenham U23","2.20
3.60
2.65"
"Crewe Alexandra U23
Hull City U23","2.30
3.60
2.50"
"Home Teams Goals
Away Teams Goals","2.30
7.00
1.90"
"SD Eibar
CF Getafe","3.30
2.90
2.40"
"Cadiz CF
Real Sociedad","4.20
3.80
1.80"
"Granada CF
Real Valladolid","2.10
3.00
4.00"
"CD Alaves
CF Valencia","2.55
3.20
2.80"
"CE Sabadell
Las Palmas UD","2.70
2.90
2.70"
"RCD Mallorca
Sporting Gijon","2.05
2.90
4.00"
"Tenerife CD
UD Logrones","1.85
3.00
4.80"
"Ponferradina SD
Real Zaragoza","2.50
2.90
3.00"
"Celta de Vigo B
Zamora CF","2.25
3.20
2.80"
"Unionistas CF
FC Coruxo","1.85
3.30
3.70"
"CD Guijuelo
RC Dep. La Coruna","5.70
3.20
1.60"
"Pontevedra CF
Salamanca CF UDS","1.65
3.40
4.70"
"Real Sociedad B
Real Union Irun","1.70
3.60
4.20"
"Deportivo Alaves II
SD Amorebieta","2.80
2.65
2.65"
"Barakaldo CF
Arenas Getxo","2.15
2.90
3.30"
"SD Leioa
Athletic Bilbao B","3.20
2.80
2.25"
"SD Tarazona
Club Haro Deportivo","2.25
2.80
3.20"
"CD Izarra
SD Ejea","2.45
3.00
2.70"
"SD Logrones
CD Calahorra","2.90
2.80
2.45"
"AE Prat
CF Badalona","2.35
2.60
3.30"
"UE Llagostera
Espanyol Barcelona B","2.90
2.35
2.90"
"CE L'hospitalet
FC Barcelona Atletic","3.00
2.50
2.65"
"Valencia CF Mestalla
UD Ibiza","3.60
3.10
1.95"
"Hercules Alicante
Orihuela CF","1.60
3.10
5.70"
"PD Santa Eulalia
CF La Nucia","2.20
2.65
3.60"
"CD Alcoyano
Atl. Levante UD","2.30
2.75
3.20"
"Cadiz B
CD Marino","1.52
3.50
6.00"
"Atletico Sanluqueno
Marbella FC","3.10
2.55
2.50"
"Algeciras CF
UD Tamaraceite","2.10
2.60
4.00"
"RC Recreativo de Huelva
Real Balompedica Linense","1.85
3.00
4.20"
"UD Las Palmas Atl.
San Fernando CD","3.70
2.80
2.05"
"Lorca Deportiva CF
Yeclano Deportivo","2.30
2.80
3.10"
"CD El Ejido 2012
Club Rec. Granada","2.15
2.70
3.60"
"CF Getafe B
Intl. de Madrid Boad.","1.75
3.30
4.10"
"Las Rozas CF
Atletico Madrid B","2.45
2.80
2.90"
"CD Atletico Baleares
UD San Sebastian","1.50
3.70
5.70"
"Rayo Majadahonda
UD Poblense","1.55
3.50
5.50"
"CD Badajoz
CP Villarrobledo","1.20
5.20
12.00"
"UD Socuellamos CF
Merida AD","2.10
3.00
3.30"
"Villarrubia CF
UD Melilla","2.90
2.40
2.90"
"CD DON Benito
CF Villanovense","2.90
2.70
2.55"
"Extremadura UD
CF Talavera","1.55
3.30
6.20"
"AC Fiorentina
Benevento Calcio","1.50
4.50
5.70"
"UC Sampdoria
Bologna FC","2.50
3.60
2.60"
"Hellas Verona
US Sassuolo","3.10
3.70
2.15"
"AS Roma
Parma Calcio","1.47
4.70
6.00"
